song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist
Feel So Good - 2016 Remastered,45,204666,0.168,0.762,0.773,0,1,0.117,-6.037,0,0.255,105.154,4,0.568,Mase,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
Insane in the Brain,46,210160,0.0208,0.901,0.63,0.0987,8,0.103,-10.841,0,0.188,102.182,4,0.73,Cypress Hill,Black Sunday (Radio Version),90's Hip-Hop Don't Stop
Baby Got Back,27,262826,0.00471,0.933,0.664,0,1,0.0908,-11.281,1,0.311,128.467,4,0.616,Sir Mix-A-Lot,Mack Daddy,90's Hip-Hop Don't Stop
Sabotage,73,178440,0.032,0.324,0.938,0.0321,6,0.0961,-7.332,0,0.102,168.131,4,0.543,Beastie Boys,Ill Communication,90's Hip-Hop Don't Stop
O.P.P,60,271066,0.0326,0.848,0.838,4.63E-06,4,0.124,-11.949,0,0.0723,97.735,4,0.774,Naughty By Nature,Naughty By Nature,90's Hip-Hop Don't Stop
Fight The Power,56,282640,0.00484,0.797,0.582,2.04E-06,2,0.517,-12.97,1,0.255,105.974,4,0.415,Public Enemy,Fear Of A Black Planet,90's Hip-Hop Don't Stop
Poison,49,261866,0.00217,0.838,0.575,0.00872,6,0.641,-10.126,0,0.221,111.892,4,0.726,Bell Biv DeVoe,Poison (Expanded),90's Hip-Hop Don't Stop
U Can't Touch This,73,257360,0.00456,0.867,0.517,0.000339,11,0.0864,-13.222,0,0.0875,133.148,4,0.866,MC Hammer,Please Hammer Don't Hurt 'Em,90's Hip-Hop Don't Stop
Tennessee - Remastered,45,272706,0.0284,0.815,0.851,0,1,0.343,-3.667,0,0.178,99.915,4,0.674,Arrested Development,Classic Masters,90's Hip-Hop Don't Stop
Around The Way Girl,48,246533,0.00435,0.608,0.669,0.0109,1,0.337,-10.834,0,0.335,202.062,4,0.679,LL Cool J,Mama Said Knock You Out (Deluxe Edition),90's Hip-Hop Don't Stop
Can't You See (feat. The Notorious B.I.G.) - 2016 Remastered,42,279520,0.195,0.707,0.735,5.88E-06,8,0.347,-4.881,0,0.0615,86.271,4,0.829,Total,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
Get Ur Freak On,73,211120,0.533,0.797,0.75,0.108,0,0.095,-9.369,1,0.247,177.87,4,0.74,Missy Elliott,Miss E...So Addictive,90's Hip-Hop Don't Stop
Can I Kick It?,72,251573,0.173,0.848,0.666,0.000699,0,0.129,-6.547,1,0.274,96.662,4,0.744,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),90's Hip-Hop Don't Stop
Anywhere - 2016 Remastered,41,247213,0.183,0.583,0.557,0,7,0.109,-6.045,0,0.27,125.888,4,0.856,112,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
"Very Special - feat. Spinderella, Laree Williams And Karen Anderson",44,305013,0.241,0.686,0.398,0,8,0.0573,-13.361,0,0.143,80.228,4,0.688,Big Daddy Kane,Looks Like A Job For...,90's Hip-Hop Don't Stop
Woo Hah!! Got You All In Check,42,271973,0.127,0.842,0.831,0,1,0.0881,-7.072,1,0.242,92.053,4,0.814,Busta Rhymes,The Best Of Busta Rhymes,90's Hip-Hop Don't Stop
Return Of The Mack,73,213093,0.00631,0.715,0.833,0,2,0.164,-5.379,1,0.108,95.487,4,0.612,Mark Morrison,Return Of The Mack,90's Hip-Hop Don't Stop
Just A Friend,63,238266,0.12,0.862,0.663,0,0,0.318,-9.004,1,0.21,85.308,4,0.837,Biz Markie,Biz's Baddest Beats: The Best Of Biz Markie,90's Hip-Hop Don't Stop
Shimmy Shimmy Ya,68,161400,0.097,0.814,0.481,3.83E-05,0,0.0495,-5.183,1,0.245,96.252,4,0.193,Ol' Dirty Bastard,Return To The 36 Chambers: The Dirty Version,90's Hip-Hop Don't Stop
Money Ain't a Thang,58,254253,0.0581,0.854,0.738,0,6,0.106,-7.284,0,0.244,100,4,0.847,Jermaine Dupri,Life In 1472 (The Original Soundtrack),90's Hip-Hop Don't Stop
Got Your Money (feat. Kelis),65,239546,0.0516,0.934,0.459,0,1,0.222,-7.654,1,0.189,103.04,4,0.697,Ol' Dirty Bastard,N***A Please,90's Hip-Hop Don't Stop
Knockin' Boots,32,233120,0.0877,0.941,0.678,0,7,0.358,-8.194,1,0.287,101.399,4,0.625,Candyman,Pure... Hip Hop,90's Hip-Hop Don't Stop
Gettin' Jiggy Wit It,72,227694,0.0175,0.881,0.874,1.19E-06,6,0.154,-4.505,1,0.139,107.891,4,0.858,Will Smith,Big Willie Style,90's Hip-Hop Don't Stop
Gone Till November,47,207466,0.0888,0.677,0.503,1.48E-05,4,0.182,-9.027,1,0.0867,85.926,4,0.417,Wyclef Jean,Wyclef Jean presents The Carnival featuring Refugee Allstars,90's Hip-Hop Don't Stop
Rebirth Of Slick (Cool Like Dat),58,261266,0.0476,0.884,0.334,0.0588,1,0.107,-18.943,0,0.228,98.315,4,0.571,Digable Planets,Reachin' (A New Refutation Of Time And Space),90's Hip-Hop Don't Stop
No Scrubs,51,218026,0.0463,0.799,0.642,0,8,0.0616,-5.523,0,0.13,92.907,4,0.536,TLC,Now & Forever - The Hits,90's Hip-Hop Don't Stop
Doo Wop (That Thing),76,320266,0.0393,0.535,0.505,0,2,0.0923,-8.926,0,0.245,99.935,4,0.495,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,90's Hip-Hop Don't Stop
Summertime - Single Edit,47,237093,0.00328,0.614,0.752,0,7,0.379,-6.271,1,0.0652,95.018,4,0.444,DJ Jazzy Jeff & The Fresh Prince,The Very Best Of D.J. Jazzy Jeff & The Fresh Prince,90's Hip-Hop Don't Stop
Ghetto Supastar (That is What You Are),70,261133,0.0335,0.818,0.653,5.46E-06,1,0.22,-8.396,1,0.204,99.931,4,0.533,Pras,Ghetto Supastar,90's Hip-Hop Don't Stop
Jump,69,195106,0.000501,0.749,0.745,0.00403,2,0.333,-10.625,1,0.164,101.972,4,0.481,Kris Kross,Totally Krossed Out,90's Hip-Hop Don't Stop
No Diggity,81,304600,0.303,0.868,0.646,0,1,0.284,-4.674,0,0.288,88.641,4,0.67,Blackstreet,Another Level,90's Hip-Hop Don't Stop
Still Not a Player (feat. Joe),53,236120,0.19,0.902,0.653,0.000983,4,0.0895,-5.425,0,0.284,94.069,4,0.863,Big Pun,The Legacy: The Best Of Big Pun,90's Hip-Hop Don't Stop
I Wish - Radio Edit,63,252306,0.00826,0.715,0.738,0,7,0.26,-10.139,1,0.157,97.877,4,0.573,Skee-Lo,I Wish,90's Hip-Hop Don't Stop
Regulate,76,248866,0.29,0.845,0.51,2.39E-06,11,0.114,-13.064,0,0.224,95.265,4,0.74,Warren G,Regulateâ€¦ G Funk Era (Special Edition),90's Hip-Hop Don't Stop
Now That We Found Love,45,257693,0.0312,0.72,0.891,0,8,0.21,-7.911,1,0.0761,119.976,4,0.7,Heavy D & The Boyz,Heavy Hitz,90's Hip-Hop Don't Stop
I'll Be There For You/You're All I Need To Get By,10,307506,0.144,0.697,0.828,2.03E-06,1,0.334,-3.733,0,0.0963,95.052,4,0.555,Method Man,More Music From 8 Mile,90's Hip-Hop Don't Stop
It Was A Good Day,64,260306,0.135,0.78,0.754,0.0339,5,0.0467,-5.377,0,0.0949,82.395,4,0.81,Ice Cube,The Essentials,90's Hip-Hop Don't Stop
Funkdafied,50,185933,0.0757,0.802,0.461,0,11,0.109,-12.367,0,0.302,90.995,4,0.74,Da Brat,Funkdafied,90's Hip-Hop Don't Stop
On & On,52,225973,0.0534,0.758,0.408,0.00268,4,0.296,-10.751,1,0.159,80.485,4,0.367,Erykah Badu,Baduizm - Special Edition,90's Hip-Hop Don't Stop
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),39,218186,0.00561,0.4,0.841,0,11,0.338,-5.368,1,0.148,91.162,4,0.62,The Notorious B.I.G.,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
Fever,60,252244,0.544,0.755,0.806,0.000114,0,0.0908,-4.618,0,0.0479,98.008,4,0.892,WizKid,Fever,African Heat
Master Groove,65,179439,0.554,0.833,0.804,0.000629,4,0.074,-3.742,0,0.0938,106.005,4,0.63,WizKid,Master Groove,African Heat
Energy (Stay Far Away),73,199521,0.345,0.836,0.614,9.86E-05,8,0.088,-4.543,0,0.311,101.97,4,0.603,Skepta,Energy (Stay Far Away),African Heat
KANA,62,207378,0.345,0.853,0.822,0.000114,10,0.13,-5.917,0,0.212,102.82,4,0.62,Olamide,KANA,African Heat
Fake Love (feat. Duncan Mighty & WizKid),62,246792,0.28,0.873,0.651,0.000205,1,0.0782,-6.415,0,0.0664,106.036,4,0.833,Starboy,Fake Love (feat. Duncan Mighty & WizKid),African Heat
"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",70,255608,0.594,0.841,0.644,0.00402,9,0.142,-3.284,0,0.083,108.003,4,0.881,Starboy,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",African Heat
Nowo,60,197851,0.237,0.793,0.721,2.94E-06,11,0.134,-5.256,0,0.0905,107.978,4,0.519,DJ Spinall,Nowo,African Heat
Ma Lo,62,182857,0.424,0.788,0.721,2.86E-06,11,0.0897,-4.577,1,0.152,105.23,4,0.653,WizKid,Sugarcane,African Heat
Manya,58,231272,0.324,0.82,0.605,2.33E-06,2,0.159,-7.676,1,0.0922,110.011,4,0.643,Mut4y,Manya,African Heat
"My Love (feat. Major Lazer, WizKid, Dua Lipa)",73,228706,0.0453,0.728,0.811,2.07E-06,7,0.362,-4.278,1,0.0564,114.995,4,0.705,Wale,SHINE,African Heat
Come Closer,67,211293,0.127,0.825,0.453,3.82E-06,4,0.0838,-7.429,0,0.227,99.974,4,0.496,WizKid,Sounds From The Other Side,African Heat
Wine to the Top,52,219428,0.421,0.815,0.876,0,7,0.0728,-2.891,0,0.207,104.981,4,0.898,Vybz Kartel,World Fete Riddim,African Heat
Daddy Yo,55,160293,0.234,0.819,0.839,1.74E-05,6,0.137,-3.663,0,0.0682,98.968,4,0.81,WizKid,Sounds From The Other Side,African Heat
One Dance,85,173986,0.00842,0.796,0.61,0.00286,1,0.351,-5.857,1,0.0516,103.99,4,0.391,Drake,Views,African Heat
Soweto Baby (feat. Wizkid & DJ Buckz),52,258000,0.292,0.889,0.728,4.09E-06,4,0.0748,-6.995,0,0.141,120.016,4,0.767,DJ Maphorisa,Soweto Baby (feat. DJ Buckz & Wizkid),African Heat
Final (Baba Nla),54,160000,0.163,0.793,0.726,0,8,0.0934,-6.693,0,0.082,105.059,4,0.902,WizKid,Final (Baba Nla) - Single,African Heat
Bend Down Pause,50,197276,0.22,0.895,0.956,0,4,0.34,-2.599,1,0.182,100.03,4,0.814,Runtown,Bend Down Pause,African Heat
Ojuelegba,59,216242,0.146,0.644,0.748,0.000346,9,0.203,-5.862,0,0.0349,100.037,4,0.901,WizKid,Ayo,African Heat
In My Bed,50,230557,0.00424,0.851,0.77,0,11,0.0342,-5.667,0,0.0486,125.006,4,0.658,WizKid,Ayo,African Heat
Show You the Money,51,191506,0.513,0.786,0.77,1.55E-06,8,0.0892,-4.884,0,0.0768,122.997,4,0.891,WizKid,Ayo,African Heat
On Top Your Matter,47,284814,0.0536,0.706,0.966,0,0,0.0566,-1.266,1,0.0564,124.003,4,0.97,WizKid,On Top Your Matter,African Heat
Ginger (feat. Wizkid),47,232120,0.0596,0.777,0.897,0,1,0.29,-2.871,1,0.0516,126.018,4,0.964,L.A.X,Ginger (feat. Wizkid),African Heat
Pullover (feat. Wiz-Kid),47,187866,0.036,0.819,0.89,0,2,0.207,-2.265,1,0.064,130.044,4,0.964,KCee,Pullover (feat. Wiz-Kid),African Heat
Jaiye Jaiye (feat. Femi Kuti),48,246126,0.24,0.646,0.978,0,9,0.11,-2.663,0,0.0602,118.004,4,0.789,WizKid,Ayo,African Heat
Caro (feat. Lax),52,246832,0.0214,0.698,0.944,4.68E-05,9,0.485,-2.48,0,0.0628,122.183,4,0.915,WizKid,Ayo,African Heat
Slow Down (feat. Wiz Kid),49,261546,0.116,0.52,0.717,0,6,0.249,-3.006,0,0.389,135.55,5,0.704,R2Bees,Refuse to Be Broke: Da Revolution 2,African Heat
The Matter (feat. Wizkid),49,198058,0.224,0.697,0.841,0,2,0.336,-6.782,1,0.271,103.07,4,0.808,Maleek Berry,The Matter (feat. Wizkid),African Heat
Dance for Me,44,158175,0.331,0.665,0.806,0,11,0.396,-5.622,1,0.0754,124.99,4,0.421,WizKid,Dance for Me,African Heat
Pakurumo,47,212005,0.525,0.879,0.737,0.00576,2,0.268,-5.412,1,0.0421,119.99,4,0.967,WizKid,Superstar,African Heat
Love My Baby,46,246828,0.301,0.746,0.841,0,4,0.412,-5.282,1,0.215,121.043,4,0.707,WizKid,Superstar,African Heat
Tease Me / Bad Guys,47,188817,0.00376,0.613,0.951,0,9,0.0774,-2.305,0,0.261,104.427,4,0.93,WizKid,Superstar,African Heat
When The Sun Goes Down,18,200013,0.0346,0.349,0.87,0,11,0.129,-4.746,0,0.183,169.649,4,0.417,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative 00s
A-Punk,71,137760,0.0102,0.551,0.821,0.0438,2,0.153,-4.489,1,0.0539,174.923,4,0.842,Vampire Weekend,Vampire Weekend,Alternative 00s
Golden Skans,31,165120,0.000418,0.463,0.836,7.38E-06,2,0.25,-2.776,0,0.0381,141.955,4,0.713,Klaxons,Myths Of The Near Future,Alternative 00s
Last Nite,73,193506,0.0285,0.624,0.91,0.000198,0,0.0789,-5.703,1,0.0297,104.042,4,0.767,The Strokes,Is This It,Alternative 00s
Paper Planes,73,205200,0.0254,0.541,0.854,0.000125,2,0.651,-6.196,1,0.155,86.044,4,0.454,M.I.A.,Kala,Alternative 00s
Young Folks,71,276693,0.0164,0.699,0.812,0.000763,0,0.105,-6.005,1,0.0377,138.185,4,0.662,Peter Bjorn and John,Writer's Block,Alternative 00s
Take Me Out,73,237026,0.000409,0.277,0.663,0.00051,4,0.136,-8.821,0,0.0377,104.561,4,0.527,Franz Ferdinand,Franz Ferdinand,Alternative 00s
We Are Your Friends - Radio Edit,57,164960,0.0102,0.646,0.977,0.769,9,0.201,1.585,0,0.167,123.016,4,0.606,Justice,Playlist: Dance,Alternative 00s
Standing In the Way of Control,58,256399,0.00694,0.697,0.919,0.0621,7,0.203,-6.174,1,0.029,118.341,4,0.943,Gossip,Standing in the Way of Control,Alternative 00s
Heads Will Roll,29,221000,0.000187,0.562,0.903,0.0939,8,0.298,-4.46,0,0.0296,132.009,4,0.791,Yeah Yeah Yeahs,It's Blitz!,Alternative 00s
1901,66,193120,0.0588,0.607,0.835,4.71E-05,0,0.195,-5.427,1,0.0415,144.087,4,0.719,Phoenix,Wolfgang Amadeus Phoenix,Alternative 00s
Kids,78,302840,0.00076,0.451,0.931,0.0049,9,0.361,-3.871,1,0.0719,122.961,4,0.172,MGMT,Oracular Spectacular,Alternative 00s
Banquet,58,200400,0.000156,0.591,0.939,0.0111,10,0.0882,-4.911,0,0.0533,150.249,4,0.856,Bloc Party,Silent Alarm,Alternative 00s
Men's Needs,56,195697,0.000106,0.548,0.94,6.44E-05,1,0.0696,-2.274,0,0.0472,121.994,4,0.783,The Cribs,"Men's Needs, Women's Needs, Whatever (Standard Version)",Alternative 00s
Seven Nation Army,81,231920,0.00666,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,The White Stripes,Elephant,Alternative 00s
Molly's Chambers,49,134906,0.232,0.596,0.899,3.98E-06,11,0.212,-3.967,1,0.0504,146.448,4,0.939,Kings of Leon,Youth And Young Manhood,Alternative 00s
Don't Look Back into the Sun,56,178266,0.00561,0.237,0.842,0.000882,0,0.294,-4.05,0,0.093,89.744,4,0.602,The Libertines,Time for Heroes - The Best of The Libertines,Alternative 00s
Always Like This,27,245640,0.441,0.659,0.591,0.000861,1,0.0862,-6.713,1,0.0313,121.14,4,0.707,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,Alternative 00s
Two Weeks,70,243160,0.289,0.537,0.712,0.00568,5,0.08,-5.597,1,0.0286,159.871,4,0.704,Grizzly Bear,Veckatimest,Alternative 00s
Do It All Over Again,43,226426,0.00151,0.421,0.757,0.0422,0,0.116,-6.034,1,0.0324,140.102,4,0.672,Spiritualized,Let It Come Down,Alternative 00s
Bohemian Like You,67,211706,0.00315,0.584,0.931,0.772,9,0.133,-6.158,1,0.0344,131.275,4,0.694,The Dandy Warhols,Thirteen Tales From Urban Bohemia,Alternative 00s
"Steady, As She Goes",10,215293,0.00882,0.53,0.601,0.0211,9,0.083,-4.364,1,0.112,123.009,4,0.572,The Raconteurs,Broken Boy Soldiers,Alternative 00s
Float On,73,208466,0.013,0.649,0.888,2.23E-06,6,0.0888,-4.807,1,0.0293,100.975,4,0.553,Modest Mouse,Good News For People Who Love Bad News,Alternative 00s
I'm Not Gonna Teach Your Boyfriend How To Dance With You,47,217733,0.000304,0.48,0.929,0,0,0.366,-4.082,1,0.0476,125.321,4,0.799,Black Kids,Partie Traumatic,Alternative 00s
Hang Me Up To Dry,63,218786,0.0241,0.509,0.916,0.000402,2,0.36,-2.793,1,0.0324,92.432,4,0.672,Cold War Kids,Robbers & Cowards,Alternative 00s
Black And White Town,44,262896,0.000109,0.287,0.815,0.265,1,0.159,-6.594,1,0.0436,171.653,4,0.302,Doves,Black And White Town,Alternative 00s
Ready For The Floor,9,234240,0.00903,0.764,0.759,0,1,0.0746,-5.443,0,0.0413,128.999,4,0.937,Hot Chip,Made In The Dark,Alternative 00s
Apply Some Pressure,61,200346,0.000719,0.378,0.953,2.89E-05,9,0.0936,-3.632,1,0.138,167.808,4,0.512,Maximo Park,A Certain Trigger,Alternative 00s
Rebellion (Lies),11,310893,0.00787,0.4,0.934,0.513,8,0.338,-5.696,1,0.0344,127.09,4,0.731,Arcade Fire,Funeral,Alternative 00s
Jump In The Pool,54,217040,0.00883,0.419,0.924,0.0229,9,0.313,-4.404,1,0.116,139.977,4,0.362,Friendly Fires,Friendly Fires,Alternative 00s
Balloons,43,180666,0.0826,0.582,0.984,0.153,9,0.0713,-1.962,0,0.0529,153.943,4,0.771,Foals,Balloons,Alternative 00s
Skinny Love,69,238532,0.842,0.592,0.256,2.38E-06,4,0.088,-14.031,0,0.0449,76.361,4,0.103,Bon Iver,"For Emma, Forever Ago",Alternative 00s
Heartbeats,7,231800,0.0193,0.646,0.751,7.85E-05,8,0.113,-4.876,1,0.032,87.979,4,0.447,The Knife,Deep Cuts,Alternative 00s
Sleepyhead,67,174760,0.0892,0.568,0.719,1.84E-06,8,0.233,-5.406,1,0.0354,106.036,4,0.539,Passion Pit,Manners,Alternative 00s
Cheap and Cheerful,5,146680,0.00117,0.886,0.727,0.000608,11,0.0824,-5.396,0,0.0832,128.962,4,0.679,The Kills,Midnight Boom,Alternative 00s
Such Great Heights,44,266346,0.00907,0.653,0.818,0.23,5,0.0703,-8.125,1,0.047,174.984,4,0.198,The Postal Service,Give Up,Alternative 00s
HoppÃ­polla,44,270013,0.0356,0.312,0.543,0.225,11,0.128,-9.875,1,0.0308,140.109,4,0.178,Sigur RÃ³s,Takk...,Alternative 00s
Obstacle 1,50,251293,5.18E-05,0.376,0.938,0.574,5,0.0705,-4.9,1,0.0618,120.514,4,0.385,Interpol,Turn On The Bright Lights,Alternative 00s
Ladyflash,47,256026,0.000278,0.562,0.959,0.534,3,0.17,-5.288,1,0.0543,115.406,4,0.711,The Go! Team,"Thunder, Lightning, Strike",Alternative 00s
This Is Love,41,227533,5.33E-05,0.589,0.705,1.22E-05,0,0.161,-5.236,1,0.0292,112.402,4,0.394,PJ Harvey,"Stories From The City, Stories From The Sea",Alternative 00s
Feel Good Hit Of The Summer,18,163266,0.0114,0.326,0.929,0.000979,11,0.198,-5.754,1,0.174,164.984,4,0.521,Queens of the Stone Age,Rated R - Deluxe Edition,Alternative 00s
You Can't Hurry Love,44,122706,0.00751,0.349,0.723,0.00575,2,0.325,-5.189,1,0.0342,138.804,4,0.775,The Concretes,The Concretes,Alternative 00s
Australia,42,236733,0.00442,0.434,0.842,0.000142,4,0.308,-4.468,1,0.038,169.935,4,0.838,The Shins,Wincing the Night Away,Alternative 00s
Mykonos,17,275306,0.417,0.391,0.45,0.000335,11,0.14,-9.251,1,0.0306,121.946,4,0.344,Fleet Foxes,Sun Giant,Alternative 00s
Eple,49,216640,0.00236,0.673,0.76,0.21,6,0.114,-8.381,1,0.0456,106.48,4,0.795,RÃ¶yksopp,Melody AM,Alternative 00s
Wolf Like Me,61,277466,0.00175,0.357,0.787,0.00611,7,0.115,-4.979,1,0.0419,175.882,4,0.191,TV On The Radio,Return To Cookie Mountain,Alternative 00s
Daniel,56,251120,0.0118,0.593,0.658,0.0204,8,0.137,-8.393,0,0.0364,135.053,4,0.422,Bat For Lashes,Two Suns,Alternative 00s
Do You Realize??,62,213173,0.006,0.464,0.797,0.000304,0,0.392,-5.244,1,0.0333,129.964,4,0.547,The Flaming Lips,Yoshimi Battles The Pink Robots (U.S. Version),Alternative 00s
Let's Make Love And Listen To Death From Above - Dan Carey Mix; Remastered Version,44,213159,0.0819,0.688,0.804,0.00813,10,0.325,-4.313,0,0.0322,119.991,4,0.742,CSS,Let's Make Love and Listen To Death From Above (4 Track DMD),Alternative 00s
The Underdog,51,222320,0.0602,0.693,0.646,0.00132,7,0.678,-6.484,1,0.0313,145.116,4,0.89,Spoon,Ga Ga Ga Ga Ga,Alternative 00s
The Rat,58,262106,0.000151,0.176,0.917,0.0728,6,0.235,-4.884,0,0.0635,168.197,4,0.325,The Walkmen,Bows + Arrows,Alternative 00s
Son Of Sam,11,184333,0.00698,0.519,0.783,0.000503,9,0.238,-6.261,1,0.0254,96.019,4,0.259,Elliott Smith,Figure 8,Alternative 00s
A Minha Menina,36,170733,0.806,0.53,0.809,0.0122,9,0.215,-8.222,0,0.0514,98.88,4,0.804,The Bees,Sunshine Hit Me,Alternative 00s
Everything In Its Right Place,65,251426,0.699,0.293,0.462,0.0444,5,0.0954,-11.412,0,0.0453,124.004,5,0.0623,Radiohead,Kid A,Alternative 00s
All My Friends - Edit,46,366841,0.0818,0.675,0.92,0.432,9,0.14,-3.823,1,0.0343,142.599,4,0.936,LCD Soundsystem,All My Friends,Alternative 00s
Lovely Head,5,237173,0.516,0.472,0.626,0.559,5,0.741,-8.485,0,0.074,108.946,4,0.0705,Goldfrapp,Wonderful Electric (Live In London),Alternative 00s
Juxtapozed With U,48,188706,0.109,0.525,0.833,1.05E-05,9,0.181,-6.284,1,0.0522,82.842,4,0.931,Super Furry Animals,Rings Around The World,Alternative 00s
Whole New Way,44,238381,0.0713,0.559,0.694,0.893,7,0.264,-4.957,1,0.0306,153.977,4,0.788,The Horrors,Whole New Way,Alternative 00s
Once And Never Again,39,175920,0.00357,0.523,0.85,0,7,0.281,-4.653,1,0.033,114.876,4,0.792,The Long Blondes,Someone To Drive You Home,Alternative 00s
Abel,50,217026,0.000348,0.342,0.944,0.257,0,0.0848,-3.873,1,0.0489,158.805,4,0.413,The National,Alligator,Alternative 00s
Ghosts,57,179960,0.376,0.463,0.368,0,9,0.149,-11.546,1,0.048,141.974,4,0.75,Laura Marling,Alas I Cannot Swim,Alternative 00s
The Greatest,64,202560,0.738,0.508,0.362,0.000998,0,0.0922,-9.688,1,0.0262,107.459,4,0.328,Cat Power,The Greatest,Alternative 00s
"Lloyd, I'm Ready To Be Heartbroken",50,231160,0.00878,0.329,0.857,0.0725,11,0.156,-3.681,1,0.0496,143.482,4,0.476,Camera Obscura,Let's Get Out Of This Country,Alternative 00s
Fidelity,63,226680,0.52,0.923,0.518,0.000142,5,0.104,-6.008,1,0.0492,93.023,4,0.682,Regina Spektor,Begin To Hope,Alternative 00s
My Girls,52,340786,0.256,0.508,0.953,0.0445,4,0.929,-6.031,0,0.0806,119.973,4,0.555,Animal Collective,Merriweather Post Pavilion,Alternative 00s
Blind - Radio Edit,61,345560,0.00542,0.716,0.914,0.000218,7,0.0504,-6.907,0,0.0341,118.579,4,0.69,Hercules & Love Affair,Blind,Alternative 00s
Out of Time,50,233373,0.0424,0.529,0.455,0.00364,0,0.364,-8.603,1,0.0274,138.678,4,0.318,Blur,Think Tank,Alternative 00s
House Of Jealous Lovers,45,304786,0.000333,0.729,0.761,0.368,1,0.308,-4.277,1,0.0354,130.007,4,0.763,The Rapture,Echoes,Alternative 00s
Up With People,4,359360,0.339,0.558,0.539,0.217,9,0.133,-12.86,1,0.0296,136.049,4,0.496,Lambchop,Nixon,Alternative 00s
Romantic Rights,45,195106,0.00316,0.516,0.961,0,5,0.404,-5.37,0,0.157,150.147,4,0.458,Death From Above 1979,"You're A Woman, I'm A Machine",Alternative 00s
Lovely Allen,41,271040,0.0493,0.537,0.951,0.867,5,0.157,-6.629,1,0.104,116.244,4,0.0964,Holy Fuck,LP,Alternative 00s
Pull Shapes,42,178453,0.0326,0.516,0.94,0.000286,7,0.0433,-1.909,1,0.0672,144.016,4,0.767,The Pipettes,We Are The Pipettes,Alternative 00s
Teen Angst,8,303133,2.41E-05,0.32,0.863,0.14,11,0.257,-5.089,0,0.0447,149.998,4,0.0991,M83,Before the Dawn Heals Us,Alternative 00s
Forget Myself,10,322346,0.000671,0.535,0.932,0.00227,2,0.225,-2.954,1,0.0282,97.48,4,0.554,Elbow,Leaders Of The Free World,Alternative 00s
The Skin Of My Yellow Country Teeth,4,343773,0.00732,0.455,0.972,0.00026,0,0.111,-5.142,1,0.0608,141.602,4,0.391,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,Alternative 00s
Hope There's Someone,54,261200,0.979,0.294,0.184,0.0115,6,0.143,-10.421,1,0.0405,141.245,1,0.0812,Antony and the Johnsons,I Am A Bird Now,Alternative 00s
Nothing Ever Happened,39,350920,1.94E-05,0.264,0.841,0.834,2,0.109,-6.31,1,0.0321,150.102,4,0.716,Deerhunter,Microcastle,Alternative 00s
Williams Blood - Edit,33,242400,0.00981,0.714,0.438,0.000495,6,0.193,-14.753,0,0.0355,103.997,4,0.587,Grace Jones,Williams Blood,Alternative 00s
Single Again,41,231253,0.102,0.852,0.736,0.00837,4,0.181,-3.863,1,0.0719,132.064,4,0.926,The Fiery Furnaces,EP,Alternative 00s
Atlas,48,427200,0.000103,0.761,0.721,0.0761,2,0.103,-5.529,1,0.0392,135.181,4,0.39,Battles,Mirrored,Alternative 00s
Party Crowd,56,198440,0.0358,0.779,0.633,0,7,0.0901,-11.643,1,0.0305,127.167,4,0.7,David Lee Murphy,Out With A Bang,Country's Greatest Hits_ The '90s
My Maria,66,208106,0.06,0.673,0.842,0.000257,3,0.184,-4.627,1,0.0365,125.571,4,0.897,Brooks & Dunn,#1s ... and then some,Country's Greatest Hits_ The '90s
I'm From The Country - Single Version,59,213973,0.246,0.678,0.893,0,2,0.268,-3.95,1,0.0452,129.579,4,0.959,Tracy Byrd,I'm From The Country,Country's Greatest Hits_ The '90s
The Shake,48,213333,0.0755,0.677,0.892,6.60E-06,9,0.202,-5.709,1,0.0527,145.921,4,0.898,Neal McCoy,Be Good At It,Country's Greatest Hits_ The '90s
Straight Tequila Night,57,172756,0.137,0.638,0.661,0,9,0.245,-10.134,1,0.0341,109.268,4,0.464,John Anderson,Greatest Hits,Country's Greatest Hits_ The '90s
If I Know Me,52,161800,0.634,0.544,0.333,0.000632,4,0.102,-11.028,1,0.0272,134.638,4,0.183,George Strait,50 Number Ones,Country's Greatest Hits_ The '90s
